word, count
single, 5
logogram, 12
separate, 4
subject, 5
maintaining, 1
noticed, 1
extra, 3
strokes, 10
added, 2
affixes, 1
noun, 3
instances, 1
decided, 1
transitive, 1
substituting, 1
object, 4
among, 1
apple, 2
slice, 3
food, 1
eat, 1
golden, 1
delicious, 1
bite, 1
whole, 2
kind, 6
giant, 3
nut, 1
gourd, 4
gelatinous, 1
crunching, 1
resulted, 1
reemerged, 1
minus, 1
cornlike, 1
kernels, 1
beneath, 2
changed, 3
possibly, 1
study, 1
graphic, 2
elements, 3
individual, 5
melted, 2
several, 7
mix, 1
multiword, 1
gelatin, 2
egg, 1
descriptions, 1
eats, 1
bore, 2
marker, 2
expected, 2
order, 13
last, 5
longer, 4
laid, 4
standing, 3
examples, 2
inconsistent, 1
realized, 2
contain, 1
rotated, 2
distorted, 1
combined, 3
recognized, 3
guys, 2
kidding, 2
joining, 1
constituent, 1
join, 2
rotating, 1
equal, 1
ease, 2
wonder, 2
consequence, 1
radial, 2
bodies, 1
highly, 2
working, 7
modified, 1
interesting, 10
means, 5
easy, 3
recombine, 1
rules, 2
continuity, 1
splicing, 1
speech, 5
except, 1
applied, 1
continue, 2
fair, 1
days, 2
readily, 2
taught, 1
requiring, 1
cohorts, 1
pondered, 1
implications, 1
via, 1
conferencing, 1
share, 2
videoconferencing, 1
incongruous, 1
primitive, 2
compared, 2
colleagues, 1
remote, 1
familiar, 4
bizarre, 1
discuss, 2
physics, 12
vocabulary, 1
pool, 1
data, 1
coordinate, 2
biggest, 2
confusion, 1
appear, 3
intricate, 2
rows, 1
spiral, 2
linear, 1
sticking, 1
needed, 4
reminiscent, 1
systems, 4
required, 3
reader, 1
limited, 1
systematic, 1
yet, 8
developed, 3
level, 1
oral, 1
originated, 1
illiterates, 1
third, 1
nonlinear, 1
orthography, 1
qualified, 1
junior, 1
sunday, 1
morning, 1
scrambling, 1
eggs, 1
laugh, 1
man, 1
weight, 2
makes, 5
drink, 1
maintain, 3
neutral, 1
pleasant, 1
exact, 1
admit, 3
lose, 1
respect, 1
maddeningly, 1
remind, 1
clone, 1
wonderful, 3
delight, 1
created, 2
trailer, 2
offices, 1
catch, 3
semasiographic, 4
let, 6
directed, 1
chalkboard, 2
drew, 4
circle, 2
diagonal, 2
bisecting, 1
allowed, 1
representation, 1
describe, 3
represents, 1
conveys, 1
meaning, 2
reference, 1
correspondence, 1
components, 2
particular, 4
picture, 2
constructing, 1
visual, 3
syntax, 3
unrelated, 1
desk, 3
pulled, 3
monitor, 1
indicating, 1
identified, 1
orientation, 1
relative, 6
instance, 1
integrated, 2
perpendicular, 1
morphology, 1
applies, 2
example, 2
inflection, 1
roughly, 2
common, 4
combine, 1
ways, 4
indicate, 2
modulation, 2
special, 2
transformation, 1
nodded, 3
express, 2
changing, 3
curve, 2
applicable, 1
lots, 2
modulated, 1
version, 2
add, 1
prefix, 1
manner, 3
prefixes, 1
essentially, 1
grammar, 3
pacing, 2
equations, 3
notations, 1
music, 1
suspect, 1
graphical, 1
constitutes, 1
fact, 5
accurate, 2
refer, 1
b, 22
strictly, 1
referring, 1
seems, 1
unnecessarily, 2
hard, 2
primary, 2
force, 1
play, 3
cultural, 1
cognitive, 1
roles, 1
forms, 1
redundant, 1
wasting, 1
entirely, 2
immediate, 2
ignore, 2
bet, 4
mathematical, 4
start, 7
better, 4
grasp, 2
begin, 5
smiled, 2
mimed, 1
patience, 1
six, 1
conference, 1
attend, 1
hawaii, 2
accompany, 1
excited, 2
preparations, 1
weeks, 2
coconuts, 1
volcanoes, 1
surfing, 1
hula, 1
dancing, 1
pack, 3
suitcase, 1
clothes, 2
toys, 2
bring, 3
drag, 1
carry, 3
bag, 2
fun, 2
dimples, 1
eyebrows, 1
agree, 1
fewer, 1
expectations, 1
wanna, 3
wait, 5
anticipation, 1
report, 3
submitted, 1
suggested, 3
term, 3
misnomer, 1
graph, 1
represented, 2
graphs, 1
correspond, 1
notion, 2
semagram, 5
corresponded, 1
meaningful, 3
combination, 2
semagrams, 13
endless, 1
define, 2
precisely, 2
satisfactorily, 1
defined, 4
became, 6
cadence, 1
pairings, 1
neatly, 1
number, 1
paragraph, 1
page, 4
grew, 7
fairly, 1
sizable, 1
impact, 1
decipher, 1
fanciful, 1
praying, 1
mantids, 1
drawn, 2
style, 1
clinging, 1
escheresque, 1
lattice, 1
slightly, 1
effect, 1
similar, 4
psychedelic, 1
sometimes, 3
taken, 5
college, 1
photo, 1
striking, 1
pose, 1
mortarboard, 1
stylishly, 1
