word, count
trembling, 3
burial, 4
gate, 3
broke, 5
forth, 6
sang, 5
trilled, 1
quivered, 3
shook, 4
throat, 1
churchyard, 1
adjusted, 2
bowed, 1
died, 10
tomb, 3
truth, 4
lain, 3
adjoining, 1
questioned, 1
brethren, 1
kinsmen, 2
talked, 2
rooms, 2
covered, 1
staggered, 2
soldered, 2
mouth, 1
awful, 6
lift, 9
hasps, 1
stroke, 1
forehead, 8
hot, 1
handle, 1
adamantine, 1
thimble, 2
buzz, 3
dull, 1
flies, 2
shines, 1
freckled, 2
fearless, 1
cobweb, 2
swings, 1
ceiling, 1
indolent, 1
daisies, 6
agony, 3
sham, 1
convulsion, 2
simulate, 2
glaze, 2
impossible, 3
feign, 1
beads, 2
short, 6
potential, 1
bustle, 3
illustrious, 1
consequence, 1
eclat, 1
unknown, 6
renown, 1
beggar, 5
accept, 1
thank, 5
bed, 4
funnelled, 1
nosegays, 2
head, 10
travellers, 1
thrown, 4
cross, 3
alive, 5
turning, 3
search, 1
cloudier, 1
obscure, 1
fog, 2
disclosing, 1
blessed, 1
backs, 1
laid, 3
north, 4
push, 4
forests, 4
galloped, 1
lightning, 4
skipped, 1
thunder, 3
crumbled, 1
stuff, 1
good, 6
tombs, 1
temper, 1
reach, 8
vengeance, 1
saw, 6
moor, 3
heather, 1
spoke, 2
visited, 5
spot, 3
chart, 1
permits, 1
industrious, 2
calls, 2
promptly, 1
dreary, 2
marbles, 1
playing, 2
suffered, 2
intrust, 1
wavering, 1
settled, 4
firm, 3
patient, 5
part, 6
pleasant, 1
furthest, 5
wishes, 2
accented, 1
legible, 1
confident, 1
ill, 2
fluttered, 2
conscious, 1
grow, 2
blest, 1
junction, 1
noticed, 5
smallest, 3
overlooked, 2
minds, 2
italicized, 1
exist, 2
quite, 3
jealousy, 1
arose, 2
nearly, 1
waited, 1
jostled, 1
speak, 2
mentioned, 2
lightly, 4
reed, 1
shivered, 1
consented, 1
placed, 2
leisure, 3
place, 13
primer, 2
unopened, 1
rare, 3
clasped, 1
sweeter, 2
learned, 4
b, 1
c, 1
house, 14
solemnest, 1
industries, 1
enacted, 2
sweeping, 1
want, 6
use, 2
reason, 4
absolute, 2
vitality, 2
excel, 1
somehow, 2
equation, 1
porter, 1
lodge, 1
abasheth, 1
fear, 16
comprehendeth, 1
existences, 1
fastidious, 1
soon, 6
impeach, 1
kept, 8
hue, 1
perceived, 2
dusk, 4
dropping, 2
drowsing, 2
seeming, 1
well, 6
swimmers, 1
wrestled, 1
spar, 2
stray, 2
ships, 2
waters, 2
borne, 3
begging, 1
raised, 2
beseeching, 1
carriage, 1
drove, 2
haste, 1
school, 2
played, 2
lessons, 1
scarcely, 5
gazing, 1
grain, 1
paused, 2
swelling, 1
visible, 1
cornice, 1
feels, 3
shorter, 2
surmised, 1
toward, 4
return, 1
dropt, 1
skilful, 1
leverrier, 1
sorer, 1
lamps, 1
leagues, 1
superfluous, 5
unnoticed, 2
acre, 4
somebody, 2
existence, 3
dialogue, 1
says, 2
doubts, 1
argues, 1
turns, 3
laying, 2
evidence, 5
overcoat, 1
impotent, 1
remained, 3
excellent, 2
hospitable, 2
boy, 5
potomac, 1
bullets, 2
clipt, 1
angle, 1
quickly, 1
pride, 1
conduct, 2
person, 1
proud, 6
apparition, 1
daisy, 3
follows, 1
golden, 6
walk, 2
sits, 2
shyly, 1
waking, 3
finds, 1
marauder, 1
art, 4
sir, 4
forgive, 2
decline, 1
nearer, 7
steal, 2
enamoured, 1
west, 6
peace, 8
flight, 2
rack, 1
torture, 1
mortal, 6
bone, 4
knits, 1
bolder, 3
prick, 1
rend, 1
bodies, 1
therefore, 4
bind, 2
eagle, 1
divest, 1
mayest, 1
thyself, 2
captivity, 1
stars, 9
rich, 2
frugal, 3
esteem, 1
give, 6
cravat, 1
memorial, 2
asleep, 2
trying, 3
granite, 1
supposed, 4
sanity, 1
shutting, 1
station, 2
either, 2
hosts, 1
aurora, 1
banner, 1
gay, 4
array, 1
christ, 2
explain, 2
fair, 6
schoolroom, 1
peter, 1
promised, 2
woe, 2
forget, 8
scalds, 2
twice, 6
descending, 2
reimbursed, 1
burglar, 1
banker, 1
poems, 10
emily, 11
dickinson, 6
series, 4
edited, 2
friends, 8
mabel, 3
loomis, 3
todd, 2
higginson, 1
preface, 1
eagerness, 1
volume, 5
shows, 6
clearly, 2
alleged, 1
modern, 1
artificiality, 1
prevent, 2
prompt, 1
appreciation, 1
qualities, 2
directness, 1
simplicity, 2
approaching, 2
greatest, 1
themes, 2
critics, 1
piercing, 3
core, 1
found, 9
response, 2
wide, 2
sympathetic, 1
compelling, 1
open, 4
criticism, 1
form, 5
predecessor, 1
shining, 3
although, 4
habit, 1
sending, 1
occasional, 2
correspondents, 1
extent, 2
writing, 1
imagined, 1
suspected, 1
dated, 1
september, 1
portfolios, 1
verses, 9
cruel, 1
wrong, 1
happen, 1
outlive, 1
literary, 2
legatee, 1
surely, 1
willing, 2
ghosts, 2
cheered, 1
pleased, 5
ought, 1
withhold, 1
deed, 2
truly, 1
helen, 1
shortly, 1
sister, 2
surviving, 1
carefully, 1
copied, 1
sheets, 1
tied, 1
fascicules, 1
six, 1
eight, 1
heat, 2
received, 2
thoughtful, 2
frequent, 1
addition, 1
rather, 6
perplexing, 1
affording, 1
copies, 1
important, 2
exception, 1
generously, 1
disposal, 1
editors, 2
given, 7
